user_id,1-07h,1-08h,1-09h,1-10h,1-11h,1-12h,1-13h,1-14h,1-15h,1-16h,1-17h,1-18h,1-19h,1-20h,1-21h,1-22h,1-23h,2-07h,2-08h,2-09h,2-10h,2-11h,2-12h,2-13h,2-14h,2-15h,2-16h,2-17h,2-18h,2-19h,2-20h,2-21h,2-22h,2-23h,3-07h,3-08h,3-09h,3-10h,3-11h,3-12h,3-13h,3-14h,3-15h,3-16h,3-17h,3-18h,3-19h,3-20h,3-21h,3-22h,3-23h,4-07h,4-08h,4-09h,4-10h,4-11h,4-12h,4-13h,4-14h,4-15h,4-16h,4-17h,4-18h,4-19h,4-20h,4-21h,4-22h,4-23h,5-07h,5-08h,5-09h,5-10h,5-11h,5-12h,5-13h,5-14h,5-15h,5-16h,5-17h,5-18h,5-19h,5-20h,5-21h,5-22h,5-23h
273,0.0,9290.0,0.0,1620.0,10190.0,2150.0,1710.0,2190.0,790.0,12770.0,900.0,0.0,2540.0,5650.0,650.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,84110.0,27260.0,54530.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,94950.0,39650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46780.0,1430.0,0.0,0.0,42890.0,22800.0,137180.0,530.0,0.0,780.0,22060.0,0.0,750.0,23350.0,41130.0,6470.0,0.0
274,0.0,0.0,26910.0,1250.0,9780.0,9090.0,8860.0,0.0,0.0,1680.0,0.0,1340.0,1940.0,1630.0,2700.0,1730.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7580.0,0.0,0.0,8850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67650.0,45940.0,8630.0,0.0,9190.0,28480.0,0.0,93630.0,28930.0,0.0,0.0,0.0,0.0,0.0,54860.0,11790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114810.0,29400.0,117860.0,0.0,14020.0,1300.0,12210.0,21380.0,12660.0,570.0,96220.0,85850.0,79050.0,0.0,9200.0,1670.0,1260.0
275,0.0,2400.0,11610.0,3310.0,3100.0,1840.0,8500.0,750.0,10270.0,2100.0,3970.0,0.0,39090.0,2830.0,0.0,1660.0,0.0,22040.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,2410.0,0.0,0.0,0.0,2890.0,0.0,0.0,0.0,3910.0,0.0,40680.0,0.0,0.0,0.0,38430.0,0.0,0.0,0.0,16340.0,25180.0,2770.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6330.0,0.0,0.0,3310.0,0.0,15650.0,0.0,10720.0,202880.0,8140.0,0.0,24600.0,26840.0,0.0,5090.0,0.0,3030.0,840.0,90050.0,0.0
276,0.0,4040.0,2600.0,2870.0,10040.0,3210.0,13050.0,2840.0,13090.0,17560.0,850.0,116270.0,16370.0,8070.0,4790.0,3360.0,4090.0,870.0,0.0,0.0,0.0,10820.0,4370.0,0.0,26450.0,19830.0,3090.0,18840.0,0.0,0.0,0.0,0.0,0.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12410.0,0.0,0.0,0.0,36050.0,0.0,103580.0,39090.0,0.0,21440.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,235230.0,1510.0,21310.0,18220.0,10740.0,16300.0,7750.0,164740.0,8030.0,3260.0,0.0,136290.0,0.0,77340.0,0.0
277,1230.0,0.0,4340.0,13310.0,0.0,590.0,860.0,9410.0,120.0,1300.0,1660.0,1000.0,1400.0,2060.0,2730.0,11150.0,4120.0,0.0,18260.0,1710.0,0.0,600.0,0.0,9690.0,8860.0,5470.0,18020.0,5400.0,0.0,0.0,0.0,0.0,0.0,8150.0,0.0,1030.0,10050.0,0.0,0.0,13350.0,0.0,168160.0,0.0,22080.0,0.0,0.0,0.0,8360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,293710.0,1410.0,0.0,11000.0,3480.0,1500.0,46730.0,0.0,0.0,0.0,34740.0,1120.0,180.0,820.0,21000.0,112190.0
278,0.0,10030.0,240.0,590.0,1100.0,590.0,0.0,0.0,860.0,0.0,2030.0,1080.0,0.0,5110.0,18860.0,4730.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,0.0,0.0,0.0,0.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,13580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14680.0,0.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56100.0,1580.0,6070.0,0.0,8150.0,0.0,16660.0,1670.0,8700.0,22520.0,63280.0,1070.0,0.0,5060.0,1810.0,770.0,0.0
279,9590.0,3900.0,25130.0,6360.0,9150.0,3900.0,15550.0,750.0,7240.0,8700.0,2150.0,9010.0,175840.0,11710.0,3790.0,7070.0,5610.0,74360.0,0.0,0.0,0.0,0.0,0.0,13050.0,19070.0,0.0,0.0,0.0,28160.0,0.0,13290.0,8460.0,0.0,0.0,0.0,14270.0,8000.0,40520.0,22270.0,0.0,0.0,177410.0,0.0,0.0,0.0,7930.0,16640.0,42130.0,68130.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17440.0,0.0,7090.0,50380.0,0.0,304260.0,18710.0,6360.0,769700.0,3630.0,39140.0,42840.0,194730.0,0.0,77720.0,123430.0,203060.0
280,4540.0,12630.0,0.0,6490.0,0.0,3180.0,0.0,1220.0,13320.0,0.0,6220.0,500.0,3650.0,17740.0,2160.0,0.0,0.0,18410.0,0.0,0.0,0.0,0.0,10440.0,5320.0,0.0,0.0,0.0,0.0,0.0,37120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78270.0,0.0,0.0,0.0,60120.0,8360.0,0.0,0.0,0.0,0.0,0.0,0.0,96440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398370.0,730950.0,226590.0,0.0,0.0,2140.0,460240.0,197800.0,0.0,2450.0,0.0,0.0,10750.0,0.0,1220.0,0.0,0.0
281,3290.0,700.0,4320.0,6770.0,1720.0,5400.0,1960.0,2780.0,470.0,0.0,540.0,0.0,0.0,2880.0,13290.0,15970.0,2280.0,0.0,0.0,13500.0,0.0,0.0,0.0,0.0,0.0,49540.0,3540.0,0.0,0.0,5080.0,0.0,0.0,0.0,0.0,23100.0,20330.0,29760.0,14540.0,83110.0,0.0,0.0,0.0,0.0,0.0,0.0,33770.0,27690.0,0.0,0.0,0.0,12420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990.0,5830.0,49780.0,0.0,8830.0,61730.0,15660.0,55280.0,2780.0,3960.0,0.0,970.0,0.0,0.0,740.0,0.0,0.0
282,5900.0,0.0,5330.0,0.0,41310.0,5860.0,10380.0,1580.0,0.0,10770.0,3860.0,0.0,0.0,0.0,0.0,10840.0,2060.0,0.0,0.0,0.0,0.0,15410.0,0.0,0.0,8980.0,0.0,0.0,0.0,11790.0,0.0,0.0,0.0,25990.0,0.0,67360.0,0.0,6260.0,104820.0,0.0,0.0,0.0,175490.0,0.0,0.0,0.0,76360.0,0.0,26720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,0.0,14960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45940.0,2670.0,0.0,3780.0,2710.0,98160.0,0.0,62050.0,0.0,2350.0,17960.0,2610.0,0.0,0.0,111100.0,4040.0,0.0
283,0.0,1410.0,0.0,0.0,350.0,3370.0,6200.0,1490.0,920.0,0.0,1530.0,630.0,0.0,5200.0,21550.0,710.0,0.0,0.0,1400.0,0.0,16840.0,0.0,0.0,0.0,6980.0,0.0,6950.0,0.0,0.0,0.0,0.0,3150.0,0.0,0.0,0.0,12410.0,14470.0,0.0,8370.0,15760.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,17230.0,0.0,9770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83350.0,0.0,45740.0,11740.0,0.0,0.0,0.0,0.0,29270.0,0.0,0.0,6080.0,27000.0,2600.0,0.0,0.0,560.0
284,4880.0,740.0,2070.0,2720.0,3110.0,3620.0,0.0,4850.0,0.0,3880.0,810.0,2910.0,5420.0,1380.0,14930.0,880.0,7930.0,32620.0,0.0,0.0,0.0,0.0,0.0,8430.0,0.0,35900.0,15450.0,0.0,960.0,5690.0,14620.0,4790.0,0.0,8230.0,20310.0,13030.0,0.0,0.0,0.0,110830.0,16170.0,11830.0,0.0,34800.0,0.0,47130.0,0.0,3240.0,9160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.0,0.0,1080.0,17610.0,1870.0,2230.0,24480.0,1210.0,280.0,750.0,96810.0,1150.0,39720.0,23690.0,2700.0,0.0,32620.0
285,3850.0,1850.0,15100.0,220.0,2200.0,12260.0,2740.0,10620.0,1290.0,0.0,1030.0,0.0,3170.0,0.0,4820.0,2720.0,2410.0,0.0,16040.0,0.0,9660.0,0.0,1330.0,0.0,0.0,0.0,0.0,0.0,7140.0,7470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38610.0,0.0,238900.0,29960.0,0.0,151330.0,7100.0,4870.0,0.0,20590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,132590.0,2710.0,490.0,67200.0,71270.0,0.0,52020.0,0.0,1380.0,62160.0,59260.0,0.0,13340.0,1670.0,34000.0
286,3140.0,10120.0,24290.0,19880.0,34400.0,8120.0,4120.0,3850.0,13490.0,10140.0,2960.0,4060.0,4700.0,1930.0,750.0,0.0,0.0,0.0,10640.0,36290.0,0.0,0.0,0.0,0.0,0.0,1610.0,0.0,51500.0,22630.0,0.0,2920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67120.0,9070.0,25830.0,0.0,2870.0,21760.0,0.0,48650.0,51700.0,0.0,18120.0,58560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139240.0,360.0,1890.0,900.0,16480.0,152630.0,0.0,0.0,85560.0,780.0,241860.0,2620.0,0.0,15140.0,0.0,540.0,19730.0
287,0.0,38620.0,4530.0,1130.0,0.0,3970.0,0.0,3050.0,18360.0,2320.0,12010.0,3060.0,0.0,8930.0,0.0,23910.0,12410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,3680.0,0.0,0.0,14180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24940.0,0.0,193330.0,58600.0,0.0,0.0,0.0,12140.0,59300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238860.0,1440.0,71490.0,14090.0,780.0,770.0,30900.0,0.0,311300.0,0.0,0.0,264970.0,102400.0,0.0,0.0,1230.0,3250.0
288,12420.0,38880.0,2140.0,11410.0,4560.0,1950.0,13000.0,4780.0,4580.0,35550.0,0.0,10270.0,2570.0,0.0,30820.0,4720.0,5870.0,2390.0,0.0,0.0,12420.0,0.0,0.0,0.0,860.0,0.0,0.0,142570.0,0.0,0.0,0.0,0.0,0.0,9890.0,0.0,41770.0,275380.0,54720.0,13560.0,0.0,0.0,0.0,0.0,61840.0,111120.0,28230.0,0.0,57890.0,13400.0,0.0,30470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77450.0,0.0,0.0,91760.0,0.0,40380.0,29520.0,129790.0,0.0,6070.0,7270.0,2420.0,3220.0,16810.0,16030.0,132900.0,74930.0
289,3420.0,0.0,750.0,7050.0,5450.0,2720.0,11780.0,1960.0,2420.0,1490.0,2100.0,0.0,3420.0,1040.0,5970.0,9500.0,3980.0,4220.0,0.0,0.0,0.0,0.0,0.0,0.0,8380.0,0.0,12040.0,0.0,11980.0,28640.0,0.0,0.0,0.0,0.0,0.0,0.0,27050.0,0.0,0.0,0.0,23840.0,28950.0,0.0,137160.0,7350.0,55300.0,1920.0,136730.0,0.0,0.0,39230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,900.0,0.0,770.0,11760.0,21150.0,15510.0,20890.0,3100.0,1370.0,369810.0,0.0,0.0,39010.0,40470.0,44360.0,0.0
