user_id,1-Fri,1-Mon,1-Sat,1-Sun,1-Thu,1-Tue,1-Wed,2-Fri,2-Mon,2-Sat,2-Sun,2-Thu,2-Tue,2-Wed,3-Fri,3-Mon,3-Sat,3-Sun,3-Thu,3-Tue,3-Wed,4-Fri,4-Mon,4-Sat,4-Sun,4-Thu,4-Tue,4-Wed,5-Fri,5-Mon,5-Sat,5-Sun,5-Thu,5-Tue,5-Wed
889,11770.0,11450.0,13850.0,39170.0,11340.0,6970.0,34930.0,780.0,23490.0,12770.0,0.0,37430.0,0.0,2310.0,23590.0,6490.0,48330.0,166280.0,55880.0,4970.0,44860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128910.0,62080.0,474880.0,959690.0,63230.0,386840.0,75470.0
890,2270.0,30470.0,6230.0,11350.0,16400.0,3740.0,3800.0,0.0,0.0,0.0,0.0,0.0,2560.0,23350.0,98620.0,0.0,134530.0,38180.0,23210.0,59310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6170.0,63980.0,281570.0,32380.0,78890.0,354600.0,1450.0
891,11280.0,16340.0,3890.0,4740.0,4790.0,13520.0,8900.0,9340.0,0.0,0.0,0.0,19880.0,0.0,8420.0,0.0,41580.0,0.0,29650.0,26120.0,41460.0,25610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92350.0,61310.0,4540.0,346990.0,3540.0,26990.0,1850.0
892,2200.0,145110.0,22160.0,14550.0,17820.0,26970.0,3370.0,8320.0,1050.0,0.0,6070.0,11760.0,8340.0,1700.0,71270.0,0.0,4330.0,82820.0,28070.0,46220.0,46850.0,0.0,0.0,1510.0,0.0,3160.0,0.0,0.0,2540.0,639120.0,266250.0,5750.0,285360.0,99250.0,229210.0
893,6920.0,24380.0,36210.0,11180.0,18870.0,44710.0,29400.0,0.0,0.0,15160.0,0.0,1150.0,21140.0,0.0,49310.0,13160.0,0.0,59760.0,97640.0,0.0,29760.0,5270.0,0.0,0.0,0.0,0.0,0.0,0.0,17370.0,211120.0,33740.0,338710.0,44620.0,43880.0,3410.0
894,70090.0,39580.0,35270.0,5100.0,1350.0,33150.0,67160.0,26910.0,820.0,0.0,7620.0,79200.0,0.0,0.0,117290.0,166720.0,0.0,38680.0,9830.0,169660.0,29850.0,13150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9740.0,187390.0,178930.0,12100.0,183960.0,85800.0
895,33940.0,25620.0,9410.0,28060.0,38400.0,6350.0,750.0,14260.0,0.0,1490.0,3630.0,14920.0,13090.0,4330.0,160910.0,122750.0,18790.0,55800.0,0.0,148130.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126560.0,64250.0,1230.0,478950.0,206330.0,9700.0,32660.0
896,3340.0,26010.0,20100.0,44250.0,34260.0,12360.0,43930.0,890.0,41140.0,2650.0,10400.0,0.0,0.0,10740.0,37450.0,149690.0,17410.0,184320.0,0.0,13880.0,87710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286620.0,281100.0,2940.0,43700.0,41030.0,285840.0,22420.0
897,4730.0,23610.0,17880.0,16060.0,6130.0,9130.0,39880.0,0.0,28010.0,0.0,2690.0,6720.0,22520.0,61260.0,29380.0,0.0,0.0,32360.0,150830.0,10240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,726330.0,106010.0,12240.0,840.0,129940.0,107660.0
898,14990.0,45770.0,15730.0,29710.0,53600.0,5760.0,10370.0,0.0,0.0,0.0,0.0,0.0,0.0,5430.0,0.0,0.0,82960.0,291750.0,0.0,470460.0,0.0,0.0,5960.0,0.0,0.0,50420.0,0.0,0.0,0.0,63460.0,3760.0,233770.0,23020.0,1760.0,10920.0
899,28970.0,322310.0,16100.0,48900.0,3610.0,1580.0,5750.0,28140.0,0.0,7010.0,2890.0,5090.0,116800.0,13770.0,354110.0,377540.0,0.0,19850.0,0.0,10890.0,43600.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,62190.0,58620.0,100060.0,230060.0,9300.0,96750.0,421770.0
900,6850.0,45260.0,12640.0,18460.0,14790.0,33460.0,8440.0,0.0,139040.0,0.0,0.0,0.0,18910.0,20670.0,91810.0,116670.0,36770.0,31440.0,45710.0,0.0,35420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261970.0,13310.0,212300.0,116470.0,156640.0,35420.0,224240.0
901,12530.0,5290.0,5140.0,5500.0,3260.0,3230.0,9370.0,6690.0,0.0,0.0,12650.0,0.0,0.0,0.0,44990.0,26360.0,10530.0,48450.0,7790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820.0,16740.0,2130.0,95150.0,0.0,1680.0,8290.0
902,11590.0,28930.0,8010.0,191130.0,38290.0,29320.0,3130.0,9560.0,0.0,12480.0,92310.0,0.0,0.0,16390.0,132310.0,132330.0,72190.0,34150.0,0.0,23370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337450.0,33790.0,38870.0,101400.0,26140.0,38760.0,170390.0
903,9420.0,35410.0,3540.0,5940.0,13910.0,21470.0,19350.0,1780.0,0.0,0.0,4980.0,2600.0,0.0,0.0,175840.0,67370.0,75200.0,65630.0,0.0,28830.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,86060.0,2970.0,90580.0,125110.0,96540.0,271280.0,25570.0,44140.0
904,14400.0,0.0,5160.0,30480.0,25620.0,4320.0,15850.0,0.0,37920.0,0.0,9300.0,8860.0,0.0,0.0,0.0,80270.0,13210.0,42130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98660.0,136030.0,77880.0,870.0,4410.0,42020.0,68100.0
905,16000.0,40420.0,186590.0,21050.0,23660.0,18790.0,62890.0,18510.0,29130.0,0.0,0.0,12620.0,0.0,28680.0,1330.0,15980.0,0.0,262270.0,67720.0,32460.0,64090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,23450.0,706280.0,258690.0,10600.0,227620.0,366290.0
906,35290.0,16220.0,3250.0,3120.0,31750.0,6790.0,3230.0,0.0,7930.0,0.0,6350.0,0.0,0.0,4280.0,0.0,0.0,35530.0,0.0,51720.0,8520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226340.0,6220.0,117290.0,30410.0,770.0,20790.0
907,16330.0,15800.0,12320.0,19670.0,13320.0,8690.0,15440.0,0.0,0.0,0.0,3170.0,40580.0,0.0,0.0,145810.0,318000.0,0.0,56000.0,29290.0,21110.0,74190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17920.0,128970.0,252460.0,3750.0,780340.0,220510.0,16360.0
908,21410.0,11000.0,5490.0,670.0,3910.0,5360.0,88660.0,10020.0,0.0,26430.0,1580.0,8730.0,0.0,0.0,10540.0,2720.0,25390.0,23440.0,0.0,20650.0,113380.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,44040.0,46350.0,8110.0,187800.0,294410.0,3910.0,11980.0
909,14490.0,17860.0,32210.0,21210.0,14310.0,5440.0,3610.0,11020.0,0.0,0.0,3760.0,0.0,26940.0,11900.0,14160.0,0.0,45810.0,40860.0,64440.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32460.0,42110.0,56830.0,111550.0,203390.0,563000.0,6250.0
